City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Husavik,IS,2020-01-14 04:47:01,66.04,-17.34,32.0,96,90,20.8
229,Karatau,KZ,2020-01-14 04:48:13,43.17,70.47,23.0,82,100,5.28
230,Marsh Harbour,BS,2020-01-14 04:48:03,26.54,-77.06,74.73,81,9,18.97
231,Morristown,US,2020-01-14 04:48:13,36.21,-83.29,55.99,93,90,3.36
232,Alice,US,2020-01-14 04:48:13,27.75,-98.07,73.4,100,90,8.05
233,Kahului,US,2020-01-14 04:48:13,20.89,-156.47,77.0,65,40,13.87
234,Hovd,MN,2020-01-14 04:48:14,48.01,91.64,0.07,83,100,4.16
235,Cabedelo,BR,2020-01-14 04:38:25,-6.98,-34.83,78.8,83,20,6.93
236,Chuy,UY,2020-01-14 04:48:14,-33.7,-53.46,66.04,77,0,11.68
237,Kudahuvadhoo,MV,2020-01-14 04:48:14,2.67,72.89,81.01,75,56,13.42
238,Batagay,RU,2020-01-14 04:48:14,67.63,134.63,-24.9,95,86,2.62
239,Yatou,CN,2020-01-14 04:48:15,37.15,122.38,31.82,56,0,16.37
240,Klaksvik,FO,2020-01-14 04:48:15,62.23,-6.59,42.8,87,87,27.51
241,Vieste,IT,2020-01-14 04:48:15,41.88,16.18,41.0,73,20,2.24
242,Veraval,IN,2020-01-14 04:46:45,20.9,70.37,71.51,44,17,6.53
243,Dunedin,NZ,2020-01-14 04:45:31,-45.87,170.5,60.01,70,27,15.99
244,Pevek,RU,2020-01-14 04:48:16,69.7,170.31,-8.75,97,100,4.27
245,Poum,NC,2020-01-14 04:45:25,-20.23,164.02,80.26,79,38,22.06
246,Villanueva,HN,2020-01-14 04:48:16,15.32,-88.0,77.0,88,20,4.7
247,Ismailia,EG,2020-01-14 04:48:16,30.6,32.27,53.82,80,66,9.35
248,Olga,RU,2020-01-14 04:48:16,43.74,135.29,20.39,52,0,12.41
249,Bambanglipuro,ID,2020-01-14 04:48:17,-7.95,110.28,86.32,64,57,8.88
250,Poykovskiy,RU,2020-01-14 04:48:17,61.23,73.33,21.2,100,75,8.95
251,Vostok,RU,2020-01-14 04:48:17,46.49,135.88,2.82,91,100,3.22
252,Ucluelet,CA,2020-01-14 04:44:47,48.93,-125.55,33.01,79,98,4.9
253,Hofn,IS,2020-01-14 04:48:17,64.25,-15.21,37.65,75,100,44.74
254,Haverfordwest,GB,2020-01-14 04:48:18,51.8,-4.97,50.0,84,99,10.0
255,Keroka,KE,2020-01-14 04:48:18,-0.78,34.95,61.7,83,100,3.58
256,Alamogordo,US,2020-01-14 04:48:18,32.9,-105.96,52.0,23,1,5.82
257,Abu Samrah,SY,2020-01-14 04:48:18,35.3,37.18,45.25,64,0,6.13
258,Vestmannaeyjar,IS,2020-01-14 04:46:53,63.44,-20.27,36.1,62,100,41.14
259,Sioux Lookout,CA,2020-01-14 04:43:54,50.1,-91.92,19.4,85,90,5.82
260,Namibe,AO,2020-01-14 04:48:18,-15.2,12.15,73.72,77,100,10.69
261,Grasten,DK,2020-01-14 04:48:19,54.92,9.6,45.0,87,100,24.16
262,Molochnoye,RU,2020-01-14 04:48:19,59.29,39.68,29.86,85,78,10.54
263,Cabra,ES,2020-01-14 04:48:19,37.47,-4.44,39.99,79,75,0.96
264,Lodja,CD,2020-01-14 04:48:19,-3.48,23.43,75.58,76,23,1.25
265,Las Palmas,ES,2020-01-14 04:48:20,28.42,-14.01,59.0,62,0,4.7
266,Labuan,MY,2020-01-14 04:48:20,5.28,115.24,86.0,74,75,6.93
267,Laguna,US,2020-01-14 04:48:20,38.42,-121.42,52.0,76,90,12.75
268,Mayo,US,2020-01-14 04:38:26,38.89,-76.51,44.01,100,90,5.32
269,Kodiak,US,2020-01-14 04:48:21,57.79,-152.41,35.01,69,90,3.36
270,Tromso,NO,2020-01-14 04:48:21,69.65,18.96,33.8,80,75,11.41
271,Severo-Kurilsk,RU,2020-01-14 04:48:21,50.68,156.12,18.5,88,87,29.39
272,Pisco,PE,2020-01-14 04:38:27,-13.7,-76.22,69.8,83,75,8.05
273,Male,MV,2020-01-14 04:48:06,4.17,73.51,80.78,68,41,14.61
274,Psebay,RU,2020-01-14 04:48:22,44.12,40.81,31.53,51,25,1.34
275,Kenai,US,2020-01-14 04:48:22,60.55,-151.26,15.8,85,90,8.05
276,San Jose De Ocoa,DO,2020-01-14 04:48:22,18.55,-70.5,75.0,80,38,5.01
277,Geraldton,AU,2020-01-14 04:38:28,-28.77,114.6,86.0,48,0,13.87
278,Lahaina,US,2020-01-14 04:43:46,20.88,-156.68,77.0,69,90,17.22
279,Yulara,AU,2020-01-14 04:38:34,-25.24,130.99,104.0,11,26,10.29
280,Boddam,GB,2020-01-14 04:48:23,57.47,-1.78,39.2,69,20,19.46
281,Padang,ID,2020-01-14 04:48:23,-0.95,100.35,79.05,81,100,1.99
282,Poshekhonye,RU,2020-01-14 04:48:23,58.5,39.14,30.65,88,100,11.54
283,Fortuna,US,2020-01-14 04:48:24,40.6,-124.16,48.0,87,90,10.29
284,Saint George,US,2020-01-14 04:48:24,37.1,-113.58,39.2,86,1,0.22
